ticket_id,created_at,customer_id,order_id,product_sku,category,ai_category,ai_confidence,ai_review_required,assigned_team,status,channel,customer_message,agent_notes
TK-240001,2024-06-20 01:36,C103739,,VA-EB-PL1,Billing & Payments,Billing & Payments,0.9013092580893433,False,Billing,resolved,chat,"paid, confirmed, then nothing. 5 days and counting",Cx says dlvry delayed. Raised ticket with crr partner. xfer to Logistics. Re-shipped from warehouse. (SOP 3.1)
TK-240003,2024-06-29 16:59,C105788,VR898250,VA-EB-PL1,Billing & Payments,Billing & Payments,0.7168901057330235,False,Billing,resolved,email,"paid on 19 jun, still waiitng for something to show up. vr898250",customer states ord not delivered. chk awb w/ crr. xfer to logistics. rfnd initiated as lost in transit.
TK-240004,2024-06-29 20:11,C105697,,VA-EB-PL1,Billing & Payments,Billing & Payments,0.5112911176334882,True,Billing,resolved,chat,"Daer team, Ordered the Pulse buds in June.  Money gone from account, item not with me, 11 days. I checked the tracking page daily. Nothing changed. What do I do now? Regards Aarav","1. Order not delivered
2. Confirmed address with cx
3. Courier confirmed delivery for 03 Jul, cx informed"
TK-240005,2024-07-02 13:40,C104586,VR893392,VA-EB-PL1,Billing & Payments,Billing & Payments,0.8034482285692006,False,Billing,resolved,chat,money went out of my account 10 days ago and I have nothing in hand. pls call me on my registered number,"misrouted - dlvry. xfer. ticket raised for shipment not rcvd. conf address w/ cx. xfer to logistics. rfnd approved, rs 1999, 5-7 working days."
TK-240006,2024-07-07 11:53,C103758,VR885310,VA-AC-CH65,Billing & Payments,Billing & Payments,0.9659366963253595,False,Billing,resolved,social,"hello
the amount got deducted and since then total silence, no update, nothing at my door
your charger VR885310","payment ok. shipment issue. -> logistics delivery delayed | checked awb with courier -> rto confirmed, reshipped | xfer logistics"
TK-240008,2024-07-09 08:07,C105424,VR893961,VA-NB-ARC,Billing & Payments,Billing & Payments,0.46854284795661866,True,Billing,resolved,social,"hi there, ordered the neckband 2 weeks ago.  i haven't received my order, payment was done on 05 jul. i checked the tracking page daily. kindly look into it. plaese revert varun",issue: shipment not received | raised ticket with courier partner -> refund initiated as lost in transit [closed]
TK-240009,2024-07-09 10:14,C107457,VR889769,VA-EB-PL1,Billing & Payments,Billing & Payments,0.5493687360289652,True,Billing,resolved,chat,"Dear Sir/Madam,

I am writting with reefrence to my order of the Pulse buds (VR889769) placed on 01 Jul.  The amount got deducted and since then total silence, no update, nothing at my door. I have called the courier. I request you to look into this mattter at the earliest.

Sincerely,
Kayva Sen
Raipur",shipment not received | raised ticket with crr partner -> re-shipped from warehouse //HAR
TK-240010,2024-07-09 19:25,C104431,VR901642,VA-AC-CH65,Billing & Payments,Billing & Payments,0.26926042942891254,True,Billing,resolved,chat,"Hey,
This is regarding 65W charger. Order not delivered, tracing not updating.
I called the courier. Nothing changed.
I am losing patience.
Please resolve asap.
Awaiting response, Rohan Chopra",see prev ~Megha
TK-240011,2024-07-10 11:41,C100173,VR890881,VA-AC-CH65,Billing & Payments,Billing & Payments,0.813010412227009,False,Billing,resolved,email,"hii
the payment went through on the first try, the odrer has not gone through my front door yet
the gan charger","Cx says shipment not rcvd. conf address w/ cx. Transferred to Logistics. crr conf dlvry for 13 Jul, cx informed."
TK-240012,2024-07-14 21:30,C107768,VR886409,VA-EB-PL1,Billing & Payments,Billing & Payments,0.6467715639098742,False,Billing,resolved,email,"Hey,
Ordered the Pulse buds a month ago.  Paid but package not delivered even after 7 days.
I called the courier. Nothing changed.
What do I do now?
Thanks in advance, Shreya Patel","Cx says shipment not rcvd. Raised ticket with courier partner. Transferred to Logistics. Courier confirmed delivery for 20 Jul, cx informed. [closed]"
TK-240013,2024-07-17 22:06,C101260,VR902051,VA-EB-PL1,Billing & Payments,Billing & Payments,0.5583946967717442,True,Billing,resolved,chat,"Dear Sir/Madam,

I am writing w/ reference to my order of the Pulse buds (VR902051) placed on 07-07-2024.  13 days since payment, u have no idea where it is and neither do I. I have called the courier. I request u to provide a resolution within 3 working days.

Sincerely,
Harpreet Chopra
Jaipur","issue: ord not delivered | confirmed address with cx -> crr confirmed delivery for 21 jul, cx informed //HAR"
TK-240015,2024-07-21 13:39,C100686,VR887823,VA-EB-PL1,Billing & Payments,Delivery & Shipping,0.3746289411120945,True,Billing,resolved,chat,"dear team, this is regarding my pulse. paid but package not delivered even after 12 days. i checked the tracking page daily. honestly regretting this purchase. need this sorted this week. regards, nisha","Cust contacted re order not delivered. Confirmeed address with cx. RTO confirmed, reshipped. Case cloosed with cx consent."
TK-240016,2024-07-24 00:00,C102443,VR910094,VA-EB-PL1,Billing & Payments,Billing & Payments,0.8903484108413691,False,Billing,resolved,email,"hello
payment successful but order not delivered",Re-shipped from warehouse. Issue: ord not delivered. Confirmed address w/ cx. Via Logistics. (SOP 3.1)
TK-240017,2024-07-27 12:51,C107190,VR884016,VA-NB-ARC,Billing & Payments,Billing & Payments,0.7171756651871056,False,Billing,resolved,email,"hey
paid but package not delivered even after 11 days
arc neckband
anyone there",cx says dlvry delayed. conf address w/ cx. xfer to logistics. rfnd initiated as lost in transit.
TK-240019,2024-07-29 08:08,C109004,,VA-EB-PL1,Billing & Payments,Billing & Payments,0.5332796730314706,True,Billing,resolved,chat,"hi
the amount got deducted & since then total silence, no update, nothing at my door
the pulse buds
kindly do the needful","Customer reached out - delivery delayed. Raised ticket wih courier partner. RTO confirmed, reshipped. Cx informed. (SOP 3.1)"
TK-240021,2024-07-30 12:42,C100142,VR898430,VA-EB-PL1,Billing & Payments,Billing & Payments,0.6185170185787834,False,Billing,resolved,chat,"I bought Pulse earbuds on 19-07-2024. Paid but packgae not delivered even after 15 days.
I checked with neighbours. Nothing changed.
What do I do now?
Thankks in advance Reyansh","reported: delivery delayed. raised ticket w/ crr partner. xfer to logistics. crr conf delivery for 02 aug, cx informed."
TK-240022,2024-08-01 17:42,C105321,,VA-EB-PL1,Billing & Payments,Billing & Payments,0.7910085011066397,False,Billing,resolved,chat,"deaar sir/madam,

i am writing with reference to my order of pulse earbuds placed on 22-07-2024. transaction done, where is my stuff. i hvae checked wiht neighbours. i request you to kindly arrange a replacement.

sincerely,
ramesh sidddiqui",payment ok. shipment issue. -> logistics cx: delivery delayed | checked awb with courier -> refund initiated as lost in transit | xfer logistics
TK-240023,2024-08-07 11:53,C101361,,VA-EB-PL1,Billing & Payments,Billing & Payments,0.43092993481383773,True,Billing,resolved,chat,"hello
i haven't received my order, payment was done on 31 jul
anyone there","cx: delivery delayed | checked awb with courier -> rto confirmed, reshipped (SOP 2.7)"
TK-240024,2024-08-07 13:24,C104675,,VA-SP-ORB,Billing & Payments,Billing & Payments,0.8128795767696526,False,Billing,resolved,social,"hii
order not delivered, tracking not updating
orbit speaaker","Not a biling issue - dlvry query, transferring to logistics. rfnd initiated as lost in transit. Issue: shipment not received. Raised ticket w/ courier partner. Via Logistics. (SOP 4.2) [closed]"
TK-240025,2024-08-07 21:11,C106958,VR893204,VA-EB-PL1,Billing & Payments,Billing & Payments,0.4202964858023267,True,Billing,resolved,chat,"hi
paid on 01 aug, still waiting for something to show up
pulse 1",rfnd initiated as lost in transit. Issue: delivery delayed. Confirmed address w/ cx. //HAR
TK-240026,2024-08-07 21:16,C103662,VR900171,VA-SP-ORB,Billing & Payments,Billing & Payments,0.8142253863187424,False,Billing,resolved,chat,"pathtic experience honestly.  order vr900171 (the orbit smart speaker). order not delivered, tracking not updating. i already checked with neighbours. escalate this to someone senior.","Not a billing issue - delivery query, transferring to logistics. re: delivery delayed | raised ticket with courier partner -> courier confirmed delivery for 09 aug, cx informed | xfer logistics"
TK-240028,2024-08-07 22:26,C107501,,VA-NB-ARC,Billing & Payments,Billing & Payments,0.5966051987413521,True,Billing,resolved,chat,"dear sir/madam,

i am writing with reference to my order of my arc placed on 30 jul. my order has not been delivered yet. i have checked with neighbours. i request you to provide a resolution within 3 working days.

sincerely,
suresh mukherjee",Customer reached out - ord not delivered. Raised ticket w/ courier partner. Transferred to Logistics. rfnd of Rs 1234 initiated to source. Closing. (SOP 3.1)
TK-240029,2024-08-09 11:44,C106175,VR897285,VA-AC-CBL,Billing & Payments,Delivery & Shipping,0.315914619779171,True,Billing,resolved,chat,"product: the cable
order: vr897285
purchased: 01/08
issue: order not delivered, tracking not updating
tried: checked with neighbours
expected: resolution",see prev
TK-240031,2024-08-09 22:40,C108183,,VA-EB-PL1,Billing & Payments,Billing & Payments,0.7892200883910165,False,Billing,resolved,chat,"teh payment went thorugh on the first try, the order has not gone through my fronnt door yet - i watn my money bcak","courier confirmed dlvry for 13 aug, cx informed. issue: shipment not received. raised ticket with courier partner. ~Megha"
TK-240032,2024-08-10 21:04,C105598,VR898640,VA-EB-PL1,Billing & Payments,Billing & Payments,0.7999140060425391,False,Billing,resolved,email,"hey
your site toook the money happily, the box never came",Contact re dlvry delayed. conf address w/ cx. xfer to Logistics. Re-shipped from warehouse.
TK-240033,2024-08-14 18:24,C101053,VR893017,VA-SW-FIT,Billing & Payments,Billing & Payments,0.9354122210560788,False,Billing,resolved,chat,"paid, confirmed, then nothing. 6 days and counting - need this sorted this week","cx paid fine, parcel stuck. sending to logistics team. Cx reported ord not delivered. Raised ticket w/ courier partner. xfer to Logistics. Re-shipped from warehouse."
TK-240034,2024-08-20 17:55,C101726,,VA-EB-PL1,Billing & Payments,Delivery & Shipping,0.5702476735033319,True,Billing,resolved,social,"Product: Pulse earbuds
Order: VR883831
Purchased: 09-08-2024
Issue: order not delivered, tracking not updating
Tried: checked the tracking page daily
Expected: refund","Ticket raised for shipment not received. Raised ticket with courier partner. RTO confirmed, reshipped. Closing. (SOP 3.1)"
TK-240035,2024-08-20 20:15,C102711,,VA-EB-PL1,Billing & Payments,Billing & Payments,0.46360374845174357,True,Billing,resolved,email,"hi there, got the pulse buds from vireo.in in august. my order has not bene delivered yet. kindly look into it. please revert kavya","cx reached out - ord not delivered. conf address w/ cx. xfer to Logistics. RTO conf, reshipped. (SOP 4.2)"
TK-240036,2024-08-22 14:02,C100009,VR888377,VA-SW-FIT,Billing & Payments,Billing & Payments,0.9168544646852105,False,Billing,resolved,chat,"hello
transaction done, where is my stuff
anyone there","Not a billing issue - dlvry query, transferring to logistics. Cx says dlvry delayed. conf address w/ cx. xfer to Logistics. rfnd initiated as lost in transit. (SOP 2.7)"
